news_source,news_link,bias_rating,community_feedback
Salina Journal,https://www.salina.com/,Center,12/9
Sally Pipes,,Right,340/184
Salon,http://www.salon.com/,Left,12298/5431
Sam Harris,https://samharris.org/,Center,135/111
Sam Seder,https://www.youtube.com/user/samseder,Left,118/30
Samantha Shireman,,Lean Left,69/77
Samuel Shroff,https://sppstudents.ucr.edu/deans-brand-ambassadors#nbspsamuel-shroff,Left,3/4
San Antonio Express-News,https://www.expressnews.com/,Center,79/129
San Bernardino Sun,https://www.sbsun.com/,Center,54/51
San Diego Union-Tribune,https://www.sandiegouniontribune.com/,Lean Left,119/124
San Francisco Chronicle,http://sfchronicle.com,Left,1296/553
San Gabriel Valley Tribune,https://www.sgvtribune.com/,Center,54/53
San Jose Mercury News,http://www.mercurynews.com/,Lean Left,589/608
Santa Fe New Mexican,https://www.santafenewmexican.com/,Center,18/23
Sara Luterman,https://19thnews.org/author/sara-luterman/,Lean Left,18/26
Sarah Palin,https://www.sarahpalin.com/,Right,38/25
SBG,,Center,106/115
Science Daily,https://www.sciencedaily.com/,Center,672/416
Scientific American,http://www.scientificamerican.com/,Lean Left,2195/1203
Scott Adams,,Center,137/158
Scott Jennings,,Lean Right,100/85
Scott Stantis (cartoonist),,Right,84/114
Scottsbluff Star-Herald,https://starherald.com/,Center,11/15
SCOTUSblog,https://www.scotusblog.com/,Center,128/128
Scriberr Media - News,https://twitter.com/ScriberrNews,Center,118/106
Scriberr Media - Opinion/Editorial,https://www.scriberrnews.com/opinion/,Lean Right,52/52
Scripps News,https://www.scrippsnews.com/,Center,649/507
Seacoast Online,https://www.seacoastonline.com/,Center,4/2
Sean McDowell,https://seanmcdowell.org/,Right,10/11
Search for Common Ground,https://www.sfcg.org/,Center,10/9
Searchlight New Mexico,http://searchlightnm.org/,Center,4/5
Seattle Gay News,https://www.sgn.org/,Lean Left,12/21
Seeds of Peace,https://www.seedsofpeace.org/,Center,11/12
Seeley Swan Pathfinder,https://www.seeleylake.com/,Center,6/6
Seguin Today,https://seguintoday.com/,Center,5/4
Semafor,https://www.semafor.com/,Lean Left,57/99
Sen. Jim Risch,,Lean Right,20/24
Sentinel-Tribune,https://www.sent-trib.com/,Center,5/8
Seth Tower Hurd,,Lean Right,50/45
Seven Days News,https://www.sevendaysvt.com/,Center,4/5
SF Weekly,http://www.sfweekly.com/,Center,342/437
SFGATE,http://www.sfgate.com/,Lean Left,668/722
Shanice Jones,https://shanicejones.com/,Center,10/13
Shannon Mannon,,Lean Left,52/54
Shore News Network,https://www.shorenewsnetwork.com/,Center,12/11
Shreveport Times,http://www.shreveporttimes.com/,Center,30/40
Signe Wilkinson (cartoonist),,Left,65/54
Silver City Daily Press,https://www.scdailypress.com/,Center,8/10
Siouxland Proud,https://www.siouxlandproud.com/,Center,15/14
Sky-Hi Daily News,http://www.skyhidailynews.com/,Lean Left,221/228
Slate,https://slate.com/,Left,11409/4093
Small World (cartoonist),,Left,58/63
SmartHER News,https://www.smarthernews.com/,Center,12/11
Smerconish,http://www.smerconish.com,Center,332/406
Smithsonian Magazine,https://www.smithsonianmag.com/,Center,211/179
Soap Box Media Cincinnati,https://www.soapboxmedia.com/,Center,5/10
Socialist Alternative,http://www.socialistalternative.org/,Left,604/275
Socialist Project/The Bullet,,Left,515/242
South Arkansas Sun,https://southarkansassun.com/#google_vignette,Center,5/7
South Bend Tribune,https://www.southbendtribune.com/,Center,12/16
South Carolina Public Radio,https://www.southcarolinapublicradio.org/,Center,6/14
South China Morning Post,https://en.wikipedia.org/wiki/South_China_Morning_Post,Center,218/231
South Dakota News Watch,https://www.sdnewswatch.org/,Center,5/4
South Florida Gay News,https://southfloridagaynews.com/,Lean Left,8/16
Southeast Missourian,https://www.semissourian.com/,Center,12/10
Southern Minnesota News,https://www.southernminnesotanews.com/,Center,13/10
Southern Poverty Law Center,https://www.splcenter.org/,Left,265/59
Southern Utah News,https://www.sunews.net/,Center,9/10
Southwest Arkansas Radio,https://southwestarkansasradio.com/,Center,7/11
Sparks Tribune,https://sparkstrib.com/,Center,6/9
Spectrum Bay News 9,https://www.baynews9.com/fl/tampa,Center,5/7
Spectrum News NY1,https://www.ny1.com/nyc/all-boroughs,Center,8/12
Spiked,https://www.spiked-online.com/,Lean Right,139/143
Splinter,,Left,304/174
Spokesman Review,http://www.spokesman.com/,Lean Left,315/369
Spot On Alabama,https://spotonalabama.com/,Center,8/8
Spot On Florida,https://spotonflorida.com/,Center,7/8
Spot On Illinois,https://spotonillinois.com/,Center,4/5
Spotlight PA,spotlightpa.org,Center,8/8
Spread Great Ideas,,Center,23/20
Springfield Daily Citizen,https://sgfcitizen.org/,Center,7/10
Springfield News-Leader,https://www.news-leader.com/,Center,28/27
Springfield News-Sun,https://www.springfieldnewssun.com/,Center,6/8
St George News,https://www.stgeorgeutah.com/,Center,5/12
St. Augustine Record,https://www.staugustine.com/,Center,7/9
St. Cloud Times,https://www.sctimes.com/,Lean Left,13/13
St. George News,https://www.thespectrum.com/,Center,10/11
St. Joseph News-Press,https://www.newspressnow.com/,Center,11/15
St. Louis Call Newspapers,http://callnewspapers.com/,Center,6/9
St. Louis Post-Dispatch,https://www.stltoday.com/,Center,61/95
St. Louis Riverfront Times,https://www.riverfronttimes.com/,Lean Left,6/10
Stacey Abrams,,Lean Left,142/375
Stamford Advocate,http://www.stamfordadvocate.com/,Center,11/12
Stan Marek,https://www.marekbros.com/,Center,5/8
StandAmerica,https://www.standamerica.us/,Right,11/11
Star Beacon,https://www.starbeacon.com/,Center,10/11
Star Tribune,http://www.startribune.com/,Lean Left,164/187
Stars and Stripes,https://www.stripes.com/,Center,57/58
Starved Rock Media,https://www.starvedrock.media/,Center,9/9
STAT,https://www.statnews.com/,Center,88/93
State Journal,http://www.state-journal.com/,Lean Left,250/340
Staten Island Advance,https://www.silive.com/,Center,14/11
Statesman Journal,https://www.statesmanjournal.com/,Center,17/22
Stephen Perkins,https://twitter.com/Stephen_Perkins,Lean Right,33/31
Steve Benen,,Left,41/34
Steve Benson (cartoonist),,Left,105/98
Steve Breen (cartoonist),,Center,100/83
Steve Forbes,https://www.forbes.com/sites/steveforbes/,Lean Right,191/120
Steve Kelley (cartoonist),,Right,65/66
Steve Sack (cartoonist),,Left,95/55
Steven Crowder,https://www.youtube.com/c/StevenCrowder,Right,105/43
Steven Petrow,,Center,33/40
Stillwater Gazette,https://www.hometownsource.com/stillwater_gazette/,Center,10/9
Stimson Center,https://www.stimson.org/,Center,42/51
Storm Lake Times,https://www.stormlake.com/,Center,10/14
StoryCorps,https://storycorps.org/,Mixed,154/139
Straight Arrow News,https://san.com/,Center,98/27
Stuart Carlson (cartoonist),,Left,69/78
Students For Life,,Lean Right,68/83
Subverse,https://www.minds.com/subverse/,Center,175/123
Sukhayl Niyazov,,Center,62/74
Sun Herald,sunherald.com,Center,11/16
Sun Sentinel,https://www.sun-sentinel.com/,Center,29/28
Sunlight Foundation,,Center,167/194
Superior Telegram,https://superiortelegram.com/,Center,6/7
Suspend Belief Podcast,http://suspendbeliefpodcast.com/,Mixed,209/235
SW News 4 U,https://www.swnews4u.com/,Center,4/7
Sweetwater Now,https://www.sweetwaternow.com/,Center,3/5
Tablet Mag,https://www.tabletmag.com/,Lean Right,189/139
Taipei Times,http://www.taipeitimes.com/,Center,23/30
Tallahassee Democrat,http://www.tallahassee.com/,Center,369/394
Tampa Bay Times,https://www.tampabay.com/,Center,96/183
Tangle,https://www.readtangle.com/,Center,166/51
Tania Israel,,Left,44/49
Tara D. Sonenshine,,Center,24/23
Tara Parekh,,Lean Left,42/43
Taylor Marshall,https://taylormarshall.com/,Right,11/10
Tech Xplore,http://techxplore.com,Center,59/55
TechCrunch,http://techcrunch.com/,Center,565/458
Ted Rall (cartoonist),,Left,92/75
Teen Vogue,http://www.teenvogue.com/,Left,529/743
Telegram & Gazette,https://www.telegram.com/,Center,10/14
Tennessee Lookout,https://tennesseelookout.com/,Lean Left,9/11
Texas Insider,https://texasinsider.org/,Center,5/7
Texas Monthly,,Center,43/81
Texas Signal,https://texassignal.com/,Left,28/41
Texas Standard,https://www.texasstandard.org/,Center,8/7
Texomas Homepage KFDX 3,https://www.texomashomepage.com/,Center,9/8
The Ada News,https://www.theadanews.com/,Center,11/13
The Advocate,https://www.theadvocate.com/,Center,16/15
The Advocate,https://www.advocate.com/,Lean Left,90/116
The Advocate-Messenger,https://www.amnews.com/,Lean Left,245/297
The Alaska Landmine,https://alaskalandmine.com/,Center,6/8
The Amarillo Pioneer,https://www.amarillopioneer.com/,Center,2/5
The American Conservative,http://www.theamericanconservative.com,Right,500/450
The American Mind,https://americanmind.org/,Lean Right,109/101
The American Spectator,http://spectator.org/,Right,12986/4693
The Anniston Star,https://www.annistonstar.com/,Center,11/14
The Appeal,https://theappeal.org/,Center,150/157
The Arab American News,https://arabamericannews.com/,Center,5/7
The Ardmoreite,https://www.ardmoreite.com/,Center,7/8
The Atlanta Voice,https://theatlantavoice.com/,Lean Left,14/12
The Atlantic,http://www.theatlantic.com/,Left,17459/9767
The Augusta Press,https://theaugustapress.com/,Center,4/5
The Baltimore Banner,https://www.thebaltimorebanner.com/,Center,6/7
The Bellows,https://www.thebellows.org/,Center,39/36
The Bemidji Pioneer,https://bemidjipioneer.com/,Center,10/9
The Bend Bulletin,https://www.bendbulletin.com/,Center,7/9
The Berkshire Eagle,https://www.berkshireeagle.com/,Center,10/9
The Berkshire Eagle,https://www.berkshireeagle.com/,Lean Left,9/13
The Berkshire Edge,https://theberkshireedge.com/,Center,7/6
The Bismarck Tribune,https://bismarcktribune.com/,Center,9/14
The Bismarck Tribune,https://bismarcktribune.com/,Center,10/7
The Black Detour,http://theblackdetour.com/,Center,8/11
The Blade,toledoblade.com,Center,12/9
The Blaze,http://www.theblaze.com/,Right,120345/90946
The Block Charlotte,https://theblockcharlotte.com/,Lean Left,4/4
The Boston Globe,http://www.bostonglobe.com/,Left,1984/1445
The Bradford Era,https://www.bradfordera.com/,Center,8/9
The Brazilian Report,https://brazilian.report/,Center,30/24
The Buffalo News,https://buffalonews.com/,Center,16/27
The Bulwark,,Lean Right,259/348
The Business Journals Denver,https://www.bizjournals.com/denver/,Center,9/9
The Business Times,https://thebusinesstimes.com/,Center,8/9
The Cadiz Record,http://www.cadizrecord.com/,Lean Left,216/221
The Californian,http://www.thecalifornian.com/,Center,24/20
The Canyon County Zephyr,http://www.canyoncountryzephyr.com/,Left,227/180
The Carolina Journal,https://www.carolinajournal.com/,Lean Right,9/10
The Catalyst,https://www.bushcenter.org/catalyst/index.html,Lean Right,46/53
The Center for American Progress,https://www.americanprogress.org/,Lean Left,63/117
The Center Square,https://www.thecentersquare.com/national,Center,43/42
The Center Square - Michigan,https://www.thecentersquare.com/michigan/,Center,144/233
The Center Square - Minnesota,https://www.thecentersquare.com/minnesota/,Center,16/13
The Center Square - Texas,https://www.thecentersquare.com/texas/,Center,21/16
The Charlotte Post,https://www.thecharlottepost.com/,Lean Left,6/9
The Cheyenne Post,https://www.thecheyennepost.com/,Center,6/7
The Christian Century,https://www.christiancentury.org/,Lean Left,17/18
The Christian Left Blog,http://www.thechristianleftblog.org/,Left,20/19
The Christian Post,https://www.christianpost.com/,Lean Right,86/86
The City,https://www.thecity.nyc/,Lean Left,11/14
The Clarion-Ledger,https://www.clarionledger.com/,Center,30/33
The Colebrook Chronicle,https://colebrookchronicle.weebly.com/,Center,6/10
The College Fix,https://www.thecollegefix.com/,Right,329/249
The Colorado Sun,https://coloradosun.com/,Lean Left,98/99
The Columbian,https://www.columbian.com/,Center,16/15
The Columbus Dispatch,https://www.dispatch.com/,Center,85/122
The Commercial Appeal,http://www.commercialappeal.com/,Lean Left,234/287
The Connection Newspapers,http://www.connectionnewspapers.com/,Center,5/5
The Conscious Conservative,https://www.feleciakillings.org/conservative-blog,Right,18/19
The Conversation,https://theconversation.com/us,Lean Left,458/344
The Corpus Christi Caller-Times,,Center,22/23
The Courier-Journal,http://www.courier-journal.com/,Lean Left,307/400
The Courier-Tribune,https://www.courier-tribune.com/,Center,9/10
The Cross Timbers Gazette,https://www.crosstimbersgazette.com/,Center,6/7
The Current,https://www.thecurrent.org/,Center,6/8
The Daily Advance,http://www.dailyadvance.com/,Center,42/53
The Daily Caller,http://dailycaller.com/,Right,11517/4622
The Daily Dot,https://www.dailydot.com/,Lean Left,271/235
The Daily Herald,https://www.dailyherald.com/,Center,14/23
The Daily Iberian,https://www.thedailyiberian.com/,Center,9/12
The Daily Iowan,https://dailyiowan.com/,Center,24/28
The Daily Nebraskan,https://www.dailynebraskan.com/,Center,9/10
The Daily News Newburyport,https://www.newburyportnews.com/,Center,11/13
The Daily Nonpareil,https://nonpareilonline.com/,Center,9/15
The Daily Signal,,Right,799/325
The Daily Wire,http://www.dailywire.com/,Right,14435/4946
The Daily Yonder,https://dailyyonder.com/,Center,26/31
The Dakotan,https://mydakotan.com/,Lean Right,7/11
The Dallas Morning News,http://www.dallasnews.com/,Center,335/412
The Day,https://www.theday.com/,Center,14/12
The Deerfield Valley News,https://www.dvalnews.com/,Center,5/7
The Delaware County Daily Times,http://www.delcotimes.com/,Lean Left,258/297
The Delaware Wave,https://www.delmarvanow.com/,Center,12/12
The Denver Gazette,https://denvergazette.com/,Center,17/21
The Denver North Star,https://www.denvernorthstar.com/,Center,11/14
The Denver Post,http://www.denverpost.com/,Center,216/216
The Derrick,https://www.thederrick.com/,Center,9/10
The Dispatch,https://thedispatch.com/,Lean Right,440/278
The East Valley Tribune,https://www.eastvalleytribune.com/,Center,7/9
The Eastern New Mexico News,https://www.easternnewmexiconews.com/,Center,2/3
The Economist,http://www.economist.com/,Lean Left,7505/12711
The Ellsworth American,https://www.ellsworthamerican.com/,Center,11/10
The Epoch Times,https://www.theepochtimes.com,Lean Right,15099/8970
The Federalist,http://thefederalist.com/,Right,10861/3420
The Flip Side,https://www.theflipside.io/,Mixed,597/416
The Florida Capital Star,https://floridacapitalstar.com/,Right,35/50
The Forum of Fargo-Moorhead,https://www.inforum.com/,Center,17/15
The Forward,https://forward.com/,Center,6/12
The Free Lance–Star,https://fredericksburg.com/,Center,9/11
The Free Press,https://www.commonsense.news/,Center,165/173
The Freestone County Times,http://freestonecountytimesonline.com/,Center,6/7
The Fulcrum,https://thefulcrum.us/,Center,236/250
The Garden Island,https://www.thegardenisland.com/,Center,6/5
The Gateway Pundit,https://www.thegatewaypundit.com/about/,Right,1256/607
The Georgia Star News,https://georgiastarnews.com/,Right,36/34
The Georgia Sun,https://thegeorgiasun.com/,Center,12/11
The Georgia Virtue,https://www.thegeorgiavirtue.com/,Center,4/5
The Gilmer Mirror,https://www.gilmermirror.com/,Center,6/9
The Globe and Mail,https://www.theglobeandmail.com/,Center,324/444
The Grio,https://thegrio.com/,Lean Left,33/24
The Guardian,https://www.theguardian.com,Lean Left,17953/11518
The Hardwood Institiute,https://theharwoodinstitute.org/,Center,9/9
The Herald Banner,https://www.heraldbanner.com/,Center,7/8
The Herald Bulletin,https://www.heraldbulletin.com/,Center,12/11
The Herald News,https://www.heraldnews.com/,Center,7/8
The Heritage Foundation,http://www.heritage.org/,Lean Right,3408/1953
The HighWire,https://thehighwire.com/,Lean Right,19/26
The Hill,https://www.thehill.com,Center,20075/27736
The Hollywood Reporter,https://www.hollywoodreporter.com/,Lean Left,122/136
The Huntsville Item,https://www.itemonline.com/,Center,24/20
The Hutchinson News,https://www.hutchnews.com/,Center,8/10
The Imaginative Conservative,https://theimaginativeconservative.org/,Right,159/110
The Independent,http://www.independent.co.uk,Lean Left,968/732
The Indiana Gazette,https://www.indianagazette.com/,Center,6/7
The Intercept,https://theintercept.com,Left,6765/2206
The Iowa Torch,https://iowatorch.com/,Lean Right,23/21
The Irish Times,https://www.irishtimes.com/,Center,35/38
The Jackson Sun,https://www.jacksonsun.com/,Center,8/7
The Japan Times,https://www.japantimes.co.jp/,Center,126/110
The Jerusalem Post,,Center,434/477
The Jolt News Organization,https://www.thejoltnews.com/,Center,5/5
The Joplin Globe,https://www.joplinglobe.com/,Center,6/4
The Journal Gazette,https://www.journalgazette.net/,Center,12/13
The Journal of the San Juan Islands,https://www.sanjuanjournal.com/,Center,11/16
The Journal Times,https://journaltimes.com/,Center,13/16
The Juggernaut,,Left,42/40
The Justice,http://www.thejustice.org/,Lean Left,199/215
The Kansas City Beacon,https://kcbeacon.org/,Center,9/11
The Kansas City Star,https://www.kansascity.com/,Center,15/35
The Kansas City Star,https://www.kansascity.com/,Center,10/17
The Kentucky Daily,https://www.thekentuckydaily.com/,Center,4/6
The Korea Herald,https://www.koreaherald.com/,Center,269/211
The Kyiv Independent,https://kyivindependent.com/,Center,76/72
The Leaf-Chronicle,https://www.theleafchronicle.com/,Center,11/10
The Libertarian Republic,http://thelibertarianrepublic.com/,Lean Right,936/803
The Lincoln County News,https://lcnme.com/,Center,6/5
The Lincoln Project,https://lincolnproject.us/,Mixed,80/342
The Louisiana Weekly,http://www.louisianaweekly.com/,Center,3/5
The Lowndes Signal,https://www.lowndessignal.com/,Center,8/10
The Lufkin Daily News,http://www.lufkindailynews.com/,Center,45/45
The Maine Monitor,https://www.themainemonitor.org/,Lean Left,10/13
The Maine Wire,https://www.themainewire.com/,Right,76/30
The Maneater,https://www.themaneater.com/,Lean Left,53/52
The Manila Times,https://www.manilatimes.net/,Center,12/18
The Marietta Times,https://www.mariettatimes.com/,Center,6/7
The Markup,https://themarkup.org/,Center,41/57
The Marshall News Messenger,https://www.marshallnewsmessenger.com/,Center,6/6
The Marshall Project,,Center,103/157
The Martha's Vineyard Times,https://www.mvtimes.com/,Center,5/6
The Maui News,https://www.mauinews.com/,Center,17/15
The McLeod County Chronicle,http://www.glencoenews.com/,Center,7/11
The Messenger,https://themessenger.com/,Center,68/68
The Michigan Star,https://themichiganstar.com/,Right,16/22
The Middletown Press,https://www.middletownpress.com/,Lean Left,12/11
The Minnesota Daily,https://mndaily.com/,Lean Left,11/13
The Minority Eye,https://theminorityeye.com/,Left,17/16
The Mississippi Link,https://themississippilink.com/,Lean Left,4/6
The Mon Valley Independent,https://monvalleyindependent.com/,Center,6/6
The Monmouth Journal Eastern,https://themonmouthjournaleastern.com/,Center,5/5
The Montana Standard,https://mtstandard.com/,Center,17/18
The Narratives Project,https://www.narrativesproject.com/,Center,13/13
The Nation,http://www.thenation.com,Left,1960/600
The National Pulse,https://thenationalpulse.com/,Right,641/178
The Nevada Globe,https://thenevadaglobe.com/,Lean Right,4/4
The Nevada Independent,,Center,41/50
The Nevada Independent,https://thenevadaindependent.com/,Center,6/11
The New Orleans Advocate,https://www.theadvocate.com/,Center,10/11
The New York Sun,https://www.nysun.com/,Right,24/22
The New Yorker,https://www.newyorker.com/,Left,11550/2907
The Newport Daily News,https://www.newportri.com/,Center,14/13
The News & Observer,http://www.newsobserver.com/,Center,86/122
The News Journal,https://www.delawareonline.com/,Center,14/13
The News Tribune,https://www.thenewstribune.com/,Center,15/14
The News-Herald,https://www.news-herald.com/,Center,10/11
The Nome Nugget,http://www.nomenugget.com/,Center,8/11
The Northern Virginia Daily,https://www.nvdaily.com/,Center,9/9
The Oaklandside,https://oaklandside.org/,Center,5/7
The Observer,https://opelikaobserver.com/,Center,9/10
The Observer (New York),http://observer.com/,Center,301/523
The Oklahoman,https://www.oklahoman.com/,Center,17/18
The Olympian,https://www.theolympian.com/,Center,15/14
The Onion (Humor),https://www.theonion.com/,Lean Left,706/396
The Oracle,http://www.usforacle.com/,Center,155/187
The Oregonian,https://www.oregonlive.com/,Center,119/242
The Palm Beach Post,https://www.palmbeachpost.com/,Center,25/30
The Pantagraph,https://pantagraph.com/,Center,13/12
The Patriot Ledger,https://www.patriotledger.com/,Center,11/11
The Patriot Post,http://patriotpost.us/,Right,93/121
The Patriot-News,https://www.pennlive.com/,Center,25/39
The Penobscot Times,https://thepenobscottimes.com/,Center,6/8
The Philadelphia Inquirer,http://www.philly.com/,Lean Left,368/363
The Philadelphia Sunday Sun,https://www.philasun.com/,Center,8/10
The Philly Tribune,https://www.phillytrib.com/,Left,21/16
The Plain Dealer,https://www.plaindealer.com/,Center,10/14
The Police Tribune,https://bluelivesmatter.blue/,Lean Right,109/90
The Portsmouth Herald,,Center,28/25
The Post and Courier,postandcourier.com,Lean Right,23/21
The Post Millennial,https://www.thepostmillennial.com/,Right,501/371
The Post-Star,https://poststar.com/,Center,12/17
The Presbyterian Outlook,https://pres-outlook.org/,Lean Left,6/11
The Prescott Times,https://theprescotttimes.com/,Center,6/8
The Press of Atlantic City,https://pressofatlanticcity.com/,Center,18/21
The Press-Enterprise,https://www.pe.com/,Lean Right,58/52
The Problem Solvers Caucus,https://problemsolverscaucus.house.gov/,Center,19/15
The Providence Journal,https://www.providencejournal.com/,Center,17/16
The Provincetown Independent,https://provincetownindependent.org/,Center,10/9
The Rachel Maddow Show,https://www.msnbc.com/maddowblog,Left,56/26
The Reading Eagle,https://www.readingeagle.com/,Center,4/6
The Red and Black,http://www.redandblack.com/,Center,246/184
The Register-Guard,https://www.registerguard.com/,Center,13/13
The Reliable Bias,http://reliablebias.com/home/,Center,188/216
The Reno Gazette-Journal,,Lean Left,31/31
The Reporters Committee for Freedom of the Press,,Center,71/58
The Republic News,https://www.therepublic.com/,Center,12/12
The Republican,https://www.therepublicannews.com/,Center,285/570
The Republican Journal,,Lean Right,27/24
The Resurgent,https://theresurgent.com/,Right,193/172
The Richfield Reaper,https://richfieldreaper.com/,Center,8/9
The Ripon Advance,https://riponadvance.com/,Lean Right,28/26
The Roanoke Times,https://roanoke.com/,Center,13/22
The Root,https://www.theroot.com/,Lean Left,530/679
The Sacramento Bee,http://www.sacbee.com/,Lean Left,423/517
The Salt Lake Tribune,https://www.sltrib.com/,Lean Left,71/69
The San Francisco Standard,https://sfstandard.com/,Center,15/18
The Saturday Evening Post,https://www.saturdayeveningpost.com/,Center,276/221
The Seattle Times,https://www.seattletimes.com/,Center,326/620
The Sierra Club,,Lean Left,227/341
The South African,https://www.thesouthafrican.com/,Center,46/43
The Southern Maryland Chronicle,https://southernmarylandchronicle.com/,Lean Left,3/6
The Spectator World,https://spectatorworld.com/,Right,284/201
The State,https://www.thestate.com/,Center,36/32
The State,https://www.thestate.com/,Center,3/2
The State,thestate.com,Lean Right,8/14
The State Journal-Register,https://www.sj-r.com/,Center,12/11
The Steamboat Institute,http://www.steamboatinstitute.org/,Lean Right,25/22
The Sun,https://www.lowellsun.com/,Center,26/56
The Sun News,https://www.myrtlebeachonline.com/,Center,31/48
The Telegraph - UK,http://www.telegraph.co.uk/,Lean Right,2531/1124
The Tennessean,https://www.tennessean.com/,Center,71/80
The Texan,https://thetexan.news/,Lean Right,235/183
The Texas Observer,,Lean Left,130/114
The Texas Tribune,https://www.texastribune.org/,Lean Left,937/442
The Thread,https://www.thethreadweekly.com/,Mixed,104/111
The Times,,Center,86/129
The Times and Democrat,https://thetandd.com/,Center,13/17
The Times Herald,https://www.timesherald.com/,Center,12/13
The Times of Northwest Indiana,https://www.nwitimes.com/,Center,10/15
The Times of Northwest Indiana,https://www.nwitimes.com/,Center,11/13
The Times-Independent,https://www.moabtimes.com/,Center,8/11
The Times-Picayune,http://www.nola.com/,Center,51/101
The TimesDaily,https://www.timesdaily.com/,Center,13/13
The Topeka Capital-Journal,https://www.cjonline.com/,Center,11/11
The Topeka Capital-Journal,https://www.cjonline.com/,Center,13/18
The Trentonian,https://www.trentonian.com/,Center,14/18
The Triton,https://triton.news/,Center,8/8
The Verge,http://www.theverge.com/politics,Lean Left,1107/715
The Vindicator,https://www.vindy.com/,Center,15/14
The Virginia Gazette,https://www.dailypress.com/virginiagazette/,Center,9/11
The Virginian-Pilot,https://www.pilotonline.com/,Center,13/22
The Walsh County Record,https://www.wcrecord.com/,Center,11/13
The Washington Informer,https://www.washingtoninformer.com/,Lean Left,14/15
The Washington Sun,https://www.thewashingtonsun.com/,Center,6/7
The Week - News,http://theweek.com/,Lean Left,4202/3449
The Week - Opinion,https://theweek.com/section/opinion,Lean Left,267/237
The Weekly Packet,https://weeklypacket.com/,Center,8/9
The Weekly Standard,http://www.weeklystandard.com/,Right,1427/879
The Weirton Daily Times,https://www.weirtondailytimes.com/,Center,22/24
The Westerly Sun,https://www.thewesterlysun.com/,Center,9/9
The Western Journal,http://www.westernjournalism.com/,Right,1972/638
The Wichita Eagle,https://www.kansas.com/,Center,14/15
The Winchester Star,https://www.winchesterstar.com/,Center,6/7
The World Link,https://theworldlink.com/,Center,8/6
The Wyoming Tribune Eagle,https://www.wyomingnews.com/,Center,37/40
The Young Turks,https://tyt.com/,Left,281/66
TheGailyGrind,https://thegailygrind.com/,Left,12/13
Them,https://www.them.us/,Lean Left,21/24
theSkimm,https://twitter.com/theskimm,Lean Left,29/25
ThinkProgress,http://thinkprogress.org/,Left,2840/984
This Week in Worcester,https://thisweekinworcester.com/,Center,8/8
Thomas B. Edsall,https://www.nytimes.com/by/thomas-b-edsall,Lean Left,24/35
Thomas Franck,,Center,21/18
Thomas Frank,,Lean Left,196/206
Thomas L. Friedman,,Lean Left,133/181
Thomas Sowell,,Lean Right,631/413
THV11,https://www.thv11.com/,Center,17/17
Tiana Lowe Doescher,https://www.washingtonexaminer.com/author/tiana-lowe,Right,40/36
Tiffin Ohio News,https://go.tiffinohio.net/,Lean Left,5/6
Tim Groseclose,,Lean Right,126/97
Tim Pool,https://timcast.com/,Center,1984/2884
Tim Scott,https://www.foxnews.com/person/s/sen-tim-scott,Lean Right,21/25
Timber Lake Topic,https://www.timberlakesouthdakota.com/,Center,6/8
Time Magazine,http://www.time.com/,Lean Left,10793/9242
Times Argus,https://www.timesargus.com/,Center,9/13
Times Leader,https://www.timesleader.com/,Center,9/11
Times Standard,https://www.times-standard.com/,Center,5/8
Times Union,https://www.timesunion.com/,Center,49/50
Times-Georgian,https://www.times-georgian.com/,Center,6/7
Timothy L. O'Brien,,Lean Left,24/29
Timothy P. Carney,https://www.washingtonexaminer.com/author/timothy-p-carney,Lean Right,13/11
Todays Chronic,https://todayschronic.com/,Lean Left,9/16
Tom Cole,,Right,195/155
Tom Nichols,https://twitter.com/RadioFreeTom,Lean Right,115/130
Tom Rogan,https://www.washingtonexaminer.com/author/tom-rogan,Center,18/28
Tom Toles (cartoonist),,Left,120/109
Tony Auth (cartoonist),,Left,86/70
Tonya Russell,,Lean Left,51/47
Toronto Star,http://www.thestar.com/,Center,145/346
Town Square Deleware,https://townsquaredelaware.com/,Center,10/15
Townhall,http://townhall.com/,Right,10012/14194
Trains.com,https://www.trains.com/,Center,64/76
Trans Writes,https://transwrites.world/,Lean Left,21/28
Tri-City Herald,https://www.tri-cityherald.com/,Center,8/10
Truthdig,https://www.truthdig.com/,Left,137/75
TruthOut,http://www.truth-out.org/,Lean Left,553/546
Tucker Carlson,https://tuckercarlson.com/,Right,1164/420
Tulsa World,https://tulsaworld.com/,Center,38/35
Turning Point USA,https://www.tpusa.com/,Right,69/28
Tuscaloosa News,https://www.tuscaloosanews.com/,Center,12/13
Twin Cities PBS,https://www.tpt.org/,Center,25/30
Twin Cities Pioneer Press,https://www.twincities.com/,Center,23/26
Twin City Times,https://twincitytimes.com/,Center,7/7
Tyler Morning Telegraph,https://tylerpaper.com/,Center,8/9
U.S. News & World Report,http://www.usnews.com/,Lean Left,2159/2214
UnHerd,https://unherd.com/,Center,120/117
United Methodist Insight,https://um-insight.net/,Left,9/12
United Methodist News,https://www.umnews.org/en/,Lean Left,9/11
United Press International,https://www.upi.com/,Center,54/34
United States Courts,http://www.uscourts.gov/,Center,273/378
Univision,http://www.univision.com/,Lean Left,665/659
Up North News Wisconsin,https://upnorthnewswi.com/,Lean Left,8/9
Upper Michigans Source,https://www.uppermichiganssource.com/,Center,9/10
Upward News,https://www.upward.news/,Lean Right,164/110
